项目,附注,2020年12月31日,2019年12月31日
流动资产：,,,
货币资金,七、1,"241,700,996.57","698,822,699.65"
结算备付金,,,
拆出资金,,,
交易性金融资产,七、2,"779,007,720.05","1,134,800,000.00"
衍生金融资产,,,
应收票据,七、4,"820,287.88","632,545.00"
应收账款,七、5,"32,569,547.93","25,653,890.31"
应收款项融资,,,
预付款项,七、7,"5,114,652.24","4,914,362.33"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
其他应收款,七、8,"33,358,174.67","22,985,464.02"
其中：应收利息,,,
应收股利,,,
买入返售金融资产,,,
存货,六、9,"1,681,910,969.77","1,567,918,179.82"
合同资产,,,
持有待售资产,,,
一年内到期的非流动资产,,,
其他流动资产,七、13,"1,324,159,902.90","68,877,870.78"
流动资产合计,,"4,098,642,252.01","3,524,605,011.91"
非流动资产：,,,
发放贷款和垫款,,,
债权投资,,,
其他债权投资,,,
长期应收款,,,
长期股权投资,七、17,"5,065,304.88","5,102,559.31"
其他权益工具投资,七、18,"38,828,785.42","53,903,005.65"
其他非流动金融资产,,,
投资性房地产,七、20,"545,109,691.12","304,420,629.49"
固定资产,七、21,"1,458,030,642.50","1,424,207,470.64"
在建工程,七、22,"227,215,629.33","366,030,438.06"
生产性生物资产,,,
油气资产,,,
使用权资产,,,
无形资产,七、26,"197,604,336.16","211,469,631.70"
开发支出,,,
商誉,七、28,"1,500,000.00","1,500,000.00"
长期待摊费用,七、29,"9,569,465.87","12,920,724.22"
递延所得税资产,七、30,"38,172,569.24","37,265,795.71"
其他非流动资产,七、31,"39,184,883.74","12,301,670.55"
非流动资产合计,,"2,560,281,308.26","2,429,121,925.33"
资产总计,,"6,658,923,560.27","5,953,726,937.24"
流动负债：,,,
短期借款,七、32,"360,237,800.00","112,678,000.00"
向中央银行借款,,,
拆入资金,,,
交易性金融负债,,,
衍生金融负债,,,
应付票据,七、35,"59,566,000.00","52,161,000.00"
应付账款,七、36,"492,661,054.82","385,154,120.70"
预收款项,七、37,,"224,788,223.45"
合同负债,七、38,"184,790,389.33",
卖出回购金融资产款,,,
吸收存款及同业存放,,,
代理买卖证券款,,,
代理承销证券款,,,
应付职工薪酬,七、39,"146,958,645.14","121,505,733.68"
应交税费,七、40,"79,648,266.38","74,676,567.25"
其他应付款,七、41,"209,426,369.89","206,448,936.57"
其中：应付利息,,,
应付股利,,"1,832,355.32","1,832,355.32"
应付手续费及佣金,,,
应付分保账款,,,
持有待售负债,,,
一年内到期的非流动负债,七、43,,"420,354,299.17"
其他流动负债,七、44,"24,067,413.48","2,528,055.86"
流动负债合计,,"1,557,355,939.04","1,600,294,936.68"
非流动负债：,,,
保险合同准备金,,,
长期借款,,,
应付债券,,,
其中：优先股,,,
永续债,,,
租赁负债,,,
长期应付款,,,
长期应付职工薪酬,,,
预计负债,,,
递延收益,七、51,"81,874,199.60","87,557,856.11"
递延所得税负债,七、30,"28,054,249.14","20,078,029.07"
其他非流动负债,,,
非流动负债合计,,"109,928,448.74","107,635,885.18"
负债合计,,"1,667,284,387.78","1,707,930,821.86"
所有者权益（或股东权益）：,,,
实收资本（或股本）,七、53,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,七、55,"91,465,632.06","91,465,632.06"
减：库存股,,,
其他综合收益,七、57,"16,446,204.23","16,416,384.48"
专项储备,,,
盈余公积,七、59,"372,824,822.31","295,989,224.41"
一般风险准备,,,
未分配利润,七、60,"3,338,501,527.99","2,748,463,862.97"
"归属于母公司所有者权益
（或股东权益）合计",,"4,615,875,380.59","3,948,972,297.92"
少数股东权益,,"375,763,791.90","296,823,817.46"
"所有者权益（或股东权
益）合计",,"4,991,639,172.49","4,245,796,115.38"
"负债和所有者权益（或
股东权益）总计",,"6,658,923,560.27","5,953,726,937.24"
项目,附注,2019年12月31日,2018年12月31日
流动资产：,,,
货币资金,,"698,822,699.65","397,125,470.66"
结算备付金,,,
拆出资金,,,
交易性金融资产,,"1,134,800,000.00",
"以公允价值计量且其变动
计入当期损益的金融资产",,,
衍生金融资产,,,
应收票据,,"632,545.00","1,050,440.00"
应收账款,,"25,653,890.31","47,427,503.38"
应收款项融资,,,
预付款项,,"4,914,362.33","8,452,469.79"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
其他应收款,,"22,985,464.02","24,920,417.47"
其中：应收利息,,"125,000.00","1,097,955.97"
应收股利,,,
买入返售金融资产,,,
存货,,"1,567,918,179.82","1,594,137,090.72"
合同资产,,,
持有待售资产,,,
一年内到期的非流动资产,,,
其他流动资产,,"68,877,870.78","1,547,729,389.80"
流动资产合计,,"3,524,605,011.91","3,620,842,781.82"
非流动资产：,,,
发放贷款和垫款,,,
债权投资,,,
可供出售金融资产,,,"55,637,840.83"
其他债权投资,,,
持有至到期投资,,,
长期应收款,,,
长期股权投资,,"5,102,559.31","6,136,623.64"
其他权益工具投资,,"53,903,005.65",
其他非流动金融资产,,,
投资性房地产,,"304,420,629.49","283,688,735.12"
固定资产,,"1,424,207,470.64","1,350,355,341.56"
在建工程,,"366,030,438.06","368,918,360.39"
生产性生物资产,,,
油气资产,,,
使用权资产,,,
无形资产,,"211,469,631.70","210,168,419.28"
开发支出,,,
商誉,,"1,500,000.00","1,500,000.00"
长期待摊费用,,"12,920,724.22","13,836,904.00"
递延所得税资产,,"37,265,795.71","29,534,984.66"
其他非流动资产,,"12,301,670.55","43,067,472.45"
非流动资产合计,,"2,429,121,925.33","2,362,844,681.93"
资产总计,,"5,953,726,937.24","5,983,687,463.75"
流动负债：,,,
短期借款,,"112,678,000.00","2,159,000.00"
向中央银行借款,,,
拆入资金,,,
交易性金融负债,,,
"以公允价值计量且其变动
计入当期损益的金融负债",,,
衍生金融负债,,,
应付票据,,"52,161,000.00","40,056,000.00"
应付账款,,"385,154,120.70","395,250,987.43"
预收款项,,"224,788,223.45","237,481,329.18"
合同负债,,,
卖出回购金融资产款,,,
吸收存款及同业存放,,,
代理买卖证券款,,,
代理承销证券款,,,
应付职工薪酬,,"121,505,733.68","106,057,512.77"
应交税费,,"74,676,567.25","71,618,085.47"
其他应付款,,"206,448,936.57","233,724,764.25"
其中：应付利息,,,"28,816,438.36"
应付股利,,"1,832,355.32","1,832,355.32"
应付手续费及佣金,,,
应付分保账款,,,
持有待售负债,,,
一年内到期的非流动负债,,"420,354,299.17","499,174,456.83"
其他流动负债,,"2,528,055.86","1,941,444.02"
流动负债合计,,"1,600,294,936.68","1,587,463,579.95"
非流动负债：,,,
保险合同准备金,,,
长期借款,,,
应付债券,,,"398,977,053.53"
其中：优先股,,,
永续债,,,
租赁负债,,,
长期应付款,,,
长期应付职工薪酬,,,
预计负债,,,
递延收益,,"87,557,856.11","42,951,826.00"
递延所得税负债,,"20,078,029.07","6,496,252.37"
其他非流动负债,,,
非流动负债合计,,"107,635,885.18","448,425,131.90"
负债合计,,"1,707,930,821.86","2,035,888,711.85"
所有者权益（或股东权益）：,,,
实收资本（或股本）,,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,,"91,465,632.06","282,052,463.74"
减：库存股,,,
其他综合收益,,"16,416,384.48","16,380,702.89"
专项储备,,,
盈余公积,,"295,989,224.41","295,957,316.48"
一般风险准备,,,
未分配利润,,"2,748,463,862.97","2,213,763,553.00"
"归属于母公司所有者权益
（或股东权益）合计",,"3,948,972,297.92","3,604,791,230.11"
少数股东权益,,"296,823,817.46","343,007,521.79"
"所有者权益（或股东权
益）合计",,"4,245,796,115.38","3,947,798,751.90"
"负债和所有者权益（或
股东权益）总计",,"5,953,726,937.24","5,983,687,463.75"
项      目,"附
注",期末余额,期初余额
流动资产：,,,
货币资金,,"397,125,470.66","240,763,315.02"
结算备付金,,,
拆出资金,,,
以公允价值计量且其变动计入当期损益的金融资产,,,
衍生金融资产,,,
应收票据及应收账款,,"48,477,943.38","67,003,178.80"
其中：应收票据,,"1,050,440.00",-
应收账款,,"47,427,503.38","67,003,178.80"
预付款项,,"8,452,469.79","10,564,769.12"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
其他应收款,,"24,920,417.47","46,085,541.34"
其中：应收利息,,"1,097,955.97","613,516.43"
应收股利,,-,-
买入返售金融资产,,,
存货,,"1,594,137,090.72","1,412,956,254.69"
持有待售资产,,,
一年内到期的非流动资产,,,
其他流动资产,,"1,547,729,389.80","1,338,706,181.69"
流动资产合计,,"3,620,842,781.82","3,116,079,240.66"
非流动资产：,,,
发放贷款和垫款,,,
可供出售金融资产,,"55,637,840.83","36,738,845.82"
持有至到期投资,,,
长期应收款,,,
长期股权投资,,"6,136,623.64","30,559,665.41"
投资性房地产,,"283,688,735.12","351,037,308.03"
固定资产,,"1,350,355,341.56","1,213,951,191.04"
在建工程,,"368,918,360.39","267,213,146.27"
生产性生物资产,,,
油气资产,,,
无形资产,,"210,168,419.28","211,923,542.08"
开发支出,,,
商誉,,"1,500,000.00","1,500,000.00"
长期待摊费用,,"13,836,904.00","10,949,292.87"
递延所得税资产,,"29,534,984.66","29,879,765.41"
其他非流动资产,,"43,067,472.45","34,930,878.35"
非流动资产合计,,"2,362,844,681.93","2,188,683,635.28"
资产总计,,"5,983,687,463.75","5,304,762,875.94"
流动负债：,,,
短期借款,,"2,159,000.00","15,000,000.00"
向中央银行借款,,,
吸收存款及同业存放,,,
拆入资金,,,
以公允价值计量且其变动计入当期损益的金融负债,,,
衍生金融负债,,,
应付票据及应付账款,,"435,306,987.43","305,897,270.24"
预收款项,,"237,481,329.18","209,344,909.80"
卖出回购金融资产款,,,
应付手续费及佣金,,,
应付职工薪酬,,"106,057,512.77","95,305,258.06"
应交税费,,"71,618,085.47","68,355,537.78"
其他应付款,,"233,724,764.25","211,759,426.03"
其中：应付利息,,"28,816,438.36","28,843,904.75"
应付股利,,"1,832,355.32","1,832,355.32"
应付分保账款,,,
保险合同准备金,,,
代理买卖证券款,,,
代理承销证券款,,,
持有待售负债,,,
一年内到期的非流动负债,,"499,174,456.83",
其他流动负债,,"1,941,444.02","2,671,764.68"
流动负债合计,,"1,587,463,579.95","908,334,166.59"
非流动负债：,,,
长期借款,,,"19,825,364.41"
应付债券,,"398,977,053.53","896,236,772.21"
其中：优先股,,,
永续债,,,
长期应付款,,,
长期应付职工薪酬,,,
预计负债,,,
递延收益,,"42,951,826.00","30,210,922.67"
递延所得税负债,,"6,496,252.37",
其他非流动负债,,,
非流动负债合计,,"448,425,131.90","946,273,059.29"
负债合计,,"2,035,888,711.85","1,854,607,225.88"
所有者权益（或股东权益）：,,,
实收资本（或股本）,,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,,"282,052,463.74","282,052,463.74"
减：库存股,,,
其他综合收益,,"16,380,702.89","16,285,527.63"
专项储备,,,
盈余公积,,"295,957,316.48","283,740,477.18"
一般风险准备,,,
未分配利润,,"2,213,763,553.00","1,762,095,788.83"
归属于母公司所有者权益合计,,"3,604,791,230.11","3,140,811,451.38"
少数股东权益,,"343,007,521.79","309,344,198.68"
所有者权益（或股东权益）合计,,"3,947,798,751.90","3,450,155,650.06"
负债和所有者权益（或股东权益）总计,,"5,983,687,463.75","5,304,762,875.94"
项目,附注,期末余额,期初余额
流动资产：,,,
货币资金,,"240,763,315.02","441,444,916.48"
结算备付金,,,
拆出资金,,,
"以公允价值计量且其变动计入当期
损益的金融资产",,,
衍生金融资产,,,
应收票据,,,
应收账款,,"67,003,178.80","43,572,817.92"
预付款项,,"10,564,769.12","65,880,903.86"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
应收利息,,"613,516.43","106,333.33"
应收股利,,,
其他应收款,,"45,472,024.91","26,984,079.39"
买入返售金融资产,,,
存货,,"1,412,956,254.69","1,342,249,196.54"
持有待售资产,,,
一年内到期的非流动资产,,,
其他流动资产,,"1,338,706,181.69","879,300,944.22"
流动资产合计,,"3,116,079,240.66","2,799,539,191.74"
非流动资产：,,,
发放贷款和垫款,,,
可供出售金融资产,,"36,738,845.82","61,821,715.09"
持有至到期投资,,,
长期应收款,,,
长期股权投资,,"30,559,665.41","48,885,214.48"
投资性房地产,,"351,037,308.03","361,479,759.12"
固定资产,,"1,213,951,191.04","1,216,254,801.61"
在建工程,,"267,213,146.27","243,125,353.99"
工程物资,,,
固定资产清理,,,
生产性生物资产,,,
油气资产,,,
无形资产,,"211,923,542.08","143,185,158.14"
开发支出,,,
商誉,,"1,500,000.00","1,500,000.00"
长期待摊费用,,"10,949,292.87","10,847,432.25"
递延所得税资产,,"29,879,765.41","24,227,958.62"
其他非流动资产,,"34,930,878.35",
非流动资产合计,,"2,188,683,635.28","2,111,327,393.30"
资产总计,,"5,304,762,875.94","4,910,866,585.04"
流动负债：,,,
短期借款,,"15,000,000.00","20,000,000.00"
向中央银行借款,,,
吸收存款及同业存放,,,
拆入资金,,,
"以公允价值计量且其变动计入当期
损益的金融负债",,,
衍生金融负债,,,
应付票据,,"54,712,000.00","50,047,000.00"
应付账款,,"251,185,270.24","236,453,389.34"
预收款项,,"209,344,909.80","199,823,124.81"
卖出回购金融资产款,,,
应付手续费及佣金,,,
应付职工薪酬,,"95,305,258.06","80,117,859.56"
应交税费,,"68,355,537.78","64,138,229.00"
应付利息,,"28,843,904.75","28,936,991.97"
应付股利,,"1,832,355.32","1,832,355.32"
其他应付款,,"181,083,165.96","142,772,574.15"
应付分保账款,,,
保险合同准备金,,,
代理买卖证券款,,,
代理承销证券款,,,
持有待售负债,,,
一年内到期的非流动负债,,,"30,000,000.00"
其他流动负债,,"2,671,764.68","909,742.51"
流动负债合计,,"908,334,166.59","855,031,266.66"
非流动负债：,,,
长期借款,,"19,825,364.41","58,570,000.00"
应付债券,,"896,236,772.21","894,432,652.35"
其中：优先股,,,
永续债,,,
长期应付款,,,
长期应付职工薪酬,,,
专项应付款,,,
预计负债,,,
递延收益,,"30,210,922.67","13,728,061.27"
递延所得税负债,,,
其他非流动负债,,,
非流动负债合计,,"946,273,059.29","966,730,713.62"
负债合计,,"1,854,607,225.88","1,821,761,980.28"
所有者权益,,,
股本,,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,,"282,052,463.74","282,052,463.74"
减：库存股,,,
其他综合收益,,"16,285,527.63","16,324,769.95"
专项储备,,,
盈余公积,,"283,740,477.18","185,317,471.02"
一般风险准备,,,
未分配利润,,"1,762,095,788.83","1,518,927,258.39"
归属于母公司所有者权益合计,,"3,140,811,451.38","2,799,259,157.10"
少数股东权益,,"309,344,198.68","289,845,447.66"
所有者权益合计,,"3,450,155,650.06","3,089,104,604.76"
负债和所有者权益总计,,"5,304,762,875.94","4,910,866,585.04"
项目,附注,期末余额,期初余额
流动资产：,,,
货币资金,,"441,444,916.48","354,620,902.84"
结算备付金,,,
拆出资金,,,
以公允价值计量且其变动计入当期损益的金融资产,,,
衍生金融资产,,,
应收票据,,,
应收账款,,"43,572,817.92","50,953,219.50"
预付款项,,"65,880,903.86","23,805,848.50"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
应收利息,,"106,333.33","80,333.33"
应收股利,,,
其他应收款,,"26,984,079.39","27,266,114.31"
买入返售金融资产,,,
存货,,"1,342,249,196.54","1,321,557,890.85"
划分为持有待售的资产,,,
一年内到期的非流动资产,,,
其他流动资产,,"879,300,944.22","563,361,764.56"
流动资产合计,,"2,799,539,191.74","2,341,646,073.89"
非流动资产：,,,
发放贷款和垫款,,,
可供出售金融资产,,"61,821,715.09","64,590,909.09"
持有至到期投资,,,
长期应收款,,,
长期股权投资,,"48,885,214.48","53,009,892.18"
投资性房地产,,"361,479,759.12","413,283,300.48"
固定资产,,"1,216,254,801.61","1,275,743,948.73"
在建工程,,"243,125,353.99","228,361,907.43"
工程物资,,,
固定资产清理,,,
生产性生物资产,,,
油气资产,,,
无形资产,,"143,185,158.14","107,229,007.99"
开发支出,,,
商誉,,"1,500,000.00","1,500,000.00"
长期待摊费用,,"10,847,432.25","12,970,215.28"
递延所得税资产,,"24,227,958.62","24,779,915.51"
其他非流动资产,,,
非流动资产合计,,"2,111,327,393.30","2,181,469,096.69"
资产总计,,"4,910,866,585.04","4,523,115,170.58"
流动负债：,,,
短期借款,,"20,000,000.00","20,000,000.00"
向中央银行借款,,,
吸收存款及同业存放,,,
拆入资金,,,
以公允价值计量且其变动计入当期损益的金融负债,,,
衍生金融负债,,,
应付票据,,"50,047,000.00","52,648,000.00"
应付账款,,"236,453,389.34","262,125,666.25"
预收款项,,"199,823,124.81","96,278,248.11"
卖出回购金融资产款,,,
应付手续费及佣金,,,
应付职工薪酬,,"80,117,859.56","60,183,568.27"
应交税费,,"64,138,229.00","59,361,848.25"
应付利息,,"28,936,991.97","28,985,524.61"
应付股利,,"1,832,355.32","1,832,355.32"
其他应付款,,"142,772,574.15","126,642,246.15"
应付分保账款,,,
保险合同准备金,,,
代理买卖证券款,,,
代理承销证券款,,,
划分为持有待售的负债,,,
一年内到期的非流动负债,,"30,000,000.00","20,000,000.00"
其他流动负债,,"909,742.51",
流动负债合计,,"855,031,266.66","728,057,456.96"
非流动负债：,,,
长期借款,,"58,570,000.00","88,570,000.00"
应付债券,,"894,432,652.35","892,732,741.68"
其中：优先股,,,
永续债,,,
长期应付款,,,
长期应付职工薪酬,,,
专项应付款,,,
预计负债,,,
递延收益,,"13,728,061.27","15,078,282.30"
递延所得税负债,,,"88,566.14"
其他非流动负债,,,
非流动负债合计,,"966,730,713.62","996,469,590.12"
负债合计,,"1,821,761,980.28","1,724,527,047.08"
所有者权益,,,
股本,,"796,637,194.00","796,637,194.00"
其他权益工具,,,
其中：优先股,,,
永续债,,,
资本公积,,"282,052,463.74","279,163,846.58"
减：库存股,,,
其他综合收益,,"16,324,769.95","16,390,218.26"
专项储备,,,
盈余公积,,"185,317,471.02","174,352,665.18"
一般风险准备,,,
未分配利润,,"1,518,927,258.39","1,247,435,858.48"
归属于母公司所有者权益合计,,"2,799,259,157.10","2,513,979,782.50"
少数股东权益,,"289,845,447.66","284,608,341.00"
所有者权益合计,,"3,089,104,604.76","2,798,588,123.50"
负债和所有者权益总计,,"4,910,866,585.04","4,523,115,170.58"
